Q1. HTML Stands for _____________,A.Hyper Text Markup Language,B.Hyper Tech Markup Language,C.None of these,D.Hyper Text Makeup Language,A.Hyper Text Markup Language
Q2. HTML tags are used to describe document ___________.,A.Content,B.Language,C.None of these,D.Definition,A.Content
Q3. In HTML we have _________ type of heading tags.,A.7,B.5,C.4,D.6,D.6
Q4. Choose the correct HTML tag to make the text bold?,A.< B>,B.< BOLD >,C.< STRONG >,D.Both A) and C),D.Both A) and C)
Q5. Which is not a core attribute of html tags,A.ID,B.title,C.font,D.Class,A.ID
Q6. Head tag is used for?,A.Writing styles,B.Writing java Scripts,"C.Including css , js files",D.All of above,A.<>
Q7. What is the correct HTML tag for inserting a line break?,A.< br >,B.< lb >,C.< break >,D.< newline >,A.<>
Q8. HTML document start and end with which tag pairs?,A.< HEAD >…. < /HEAD >,B.< BODY >…. < /BODY >,C.< HTML >…. < /HTML >,D.< WEB >…. < /WEB >,A.<>
Q9. <TITLE> … </TITLE> tag must be within ________,A.Title,B.Form,C.Head,D.Body,A.<>
Q10. All HTML tags are enclosed in what ,A.< >,B.< ?php and ? >,C.# and #,D.< !—and -- >,A.<>
